Arquivo,Cluster
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,5
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
ANTARTIDAFLMM.csv,8
